-0.0777979 -0.179 -0.242403 -0.2771 -0.26504 -0.188891 -0.0528739 0.198267 0.528091 0.962794 1.6849 
-0.219253 -0.311465 -0.328712 -0.308741 -0.257544 -0.118817 0.0510595 0.31485 0.731412 1.2851 2.02421 
-0.29306 -0.410873 -0.388637 -0.319327 -0.226767 -0.0538592 0.21075 0.526081 0.958227 1.52178 2.27622 
-0.287615 -0.444191 -0.399774 -0.28273 -0.09997 0.109934 0.404277 0.851939 1.38235 1.99644 2.93504 
-0.247792 -0.401419 -0.345197 -0.17286 0.0758432 0.358872 0.750134 1.19697 1.83304 2.55312 3.52309 
-0.14459 -0.28081 -0.192719 0.0475989 0.332594 0.725552 1.14832 1.72873 2.4008 3.31796 4.31815 
0.00925595 -0.0593654 0.0770108 0.385059 0.755927 1.1669 1.75056 2.44488 3.23658 4.15613 5.09243 
0.251792 0.282217 0.486327 0.881444 1.30983 1.84157 2.4983 3.28558 4.19921 5.28611 6.38638 
0.617775 0.743401 1.04609 1.47952 2.12845 2.76278 3.52028 4.3446 5.15647 6.59914 7.84238 
1.14065 1.35365 1.7738 2.38626 3.07803 3.81742 4.7303 5.75597 6.70929 8.23007 9.59505 
1.85565 2.16417 2.73717 3.47879 4.35372 5.2511 6.38376 7.45697 8.70156 9.9352 11.3612 
